id_estacion,calle,latitud,longitud,capacidad,estacion_electrica,periodo
192,CE-173 Minería-José Martí,19.401682,-99.176398,23,False,202409
193,CE-126 Jalapa-Puebla,19.422288,-99.162138,34,False,202409
194,CE-127 Puebla-Merida,19.423318,-99.15833,27,False,202409
195,CE-180 Quintana Roo-Villahermosa,19.404554,-99.169953,27,False,202409
196,CE-467 Lago Mayor-Lago Alberto,19.440399,-99.186784,27,False,202409
197,CE-167 General Salvador Alvarado-Progreso,19.404608864422567,-99.1794095188925,23,False,202409
198,CE-196 Lago Tanganica- Av. Ejército Nacional,19.438349,-99.192904,27,False,202409
199,CE-152 Tlacotalpan-Campeche,19.409098,-99.167181,35,False,202409
200,CE-200 Emerson-Av. Ejército Nacional,19.437596,-99.188785,27,False,202409
201,CE-461 Presa Don Martín-Boulevard Miguel De Cervantes Saavedra,19.440106,-99.210031,31,False,202409
202,CE-454 Montes Urales-Monte Pelvoux,19.425905,-99.204236,15,False,202409
203,CE-466 Lago Onega-Lago Ladoga,19.44269,-99.19083,27,False,202409
204,CE-213 Solón-Cicerón,19.434366028509015,-99.206306487431,27,False,202409
205,CE-157 Tepic-Tlacotalpan,19.406236,-99.166616,30,False,202409
206,CE-456 Alpes-Montes Escandinavos,19.427517,-99.208412,27,False,202409
207,CE-459 Volcán-Montes Urales,19.429323620268587,-99.2071587592636,31,False,202409
208,CE-457 Av. Prado Norte-Explanada,19.42703,-99.212845,17,False,202409
209,CE-283 Av. Coyoacán-Rafael Dondé,19.397923,-99.167248,19,False,202409
210,CE-294 Nicolás San Juan-Eje 4 Sur Xola,19.39644167553825,-99.16090227668974,21,False,202409
211,CE-278 Mier Y Pesado-Obrero Mundial,19.40071,-99.163831,19,False,202409
212,CE-282 La Morena-Eje 2 Poniente Gabriel Mancera,19.398719270170474,-99.16128046816084,19,False,202409
213,CE-320 Enrique Rébsamen-Luz Saviñón,19.391323,-99.15936,19,False,202409
214,CE-044 Durango - Veracruz,19.418141,-99.174709,27,False,202409
215,CE-114 Lucerna-Abraham González,19.428989,-99.153618,23,False,202409
216,CE-322 Heriberto Frías-Concepción Beistegui,19.388456876549792,-99.16064277296753,27,False,202409
217,CE-318 Luz Saviñón-Amores,19.392195,-99.163987,23,False,202409
218,CE-009 Río Guadalquivir - Río Lerma,19.428184,-99.170013,19,False,202409
219,CE-234 Tres Picos-Arquímides,19.42786220267939,-99.1914046928423,27,False,202409
220,CE-339 Enrique Rébsamen-Avenida Eugenia,19.386212,-99.160583,23,False,202409
221,CE-188 Gobernador Melchor Múzquiz-Gobernador Ignacio Esteva,19.411711,-99.190139,19,False,202409
222,CE-298 Romero de Terreros-Gabriel Mancera,19.394092,-99.162139,19,False,202409
223,CE-189 Gobernador Rafael Rebollar-Gobernador José Ceballos,19.410046050731914,-99.18795973067971,19,False,202409
224,CE-249 Shakespeare-Darwin,19.42988388240091,-99.1775936633894,15,False,202409
225,CE-043 Revillagigedo - Juárez,19.4351365,-99.1460756,31,False,202409
226,CE-469 Bahía de la Concepción-Bahía de Todos Los Santos,19.434183,-99.173089,27,False,202409
227,CE-472 Bahía de Santa Bárbara-Bahía de Ballenas,19.437667,-99.17711,23,False,202409
228,CE-048 Independencia - Azueta,19.433705,-99.146665,11,False,202409
229,CE-181 Benjamín Franklin - Ometusco,19.404825166337652,-99.17472235863897,27,False,202409
